id;character;origin_dialogue;translated_dialogue
MCAB001RA;RA;Coach Oleander?;
MCAB003OL;OL;He runs a butcher shop. He wants to make food out of them.;
MCAB004FO;FO;That's right. Morry's old man was a butcher! It looks like your childhood memories of the circus got all mixed up with his childhood memories of his dad's butcher shop.;
MCAB005RA;RA;My memories were bad enough. This is just gross.;
MCAB006RA;RA;Uh oh.;
MCAB007FO;FO;You'd better keep that kid out of trouble.;
MCAB008FO;FO;With your brains all scrambled like this, what happens to him, happens to you!;
MCAB009OL;OL;Ahhh! Help!;
MCAC002OL;OL;Come here, little bunny!;
MCAC005OL;OL;Don't run or else Daddy's gonna kill you.;
MCAC006OL;OL;Buuuuuunnnneeeeee!;
MCAC007OL;OL;Bun-bun-bun!;
MCAC008OL;OL;Please, Mr. Bun!;
MCBI004RA;RA;Hey, hey. Little Oly!;เฮ้ ๆ โอลี้น้อย!
MCBI005RA;RA;It's okay, those monsters are gone now.;ไม่เป็นไร สัตว์ประหลาดพวกนั้นหายไปแล้ว
MCBI009RA;RA;Who's coming?;ใครกำลังมา?
MCBI011RA;RA;Your dad... the butcher?;พ่อนาย...คนขายเนื้ออะเหรอ?
MCBI012OL;OL;He says little bunnies are good for nothing.;พ่อบอกว่า พวกกระต่ายตัวน้อยมันไร้ประโยชน์
MCBI013OL;OL;Nothing but food!;เป็นได้แค่อาหาร!
MCBI015OL;OL;Ahhhhhhhhhhhh!;อ้าาาาาาาา!
MCBI016BU;BU;DON'T RUN OR ELSE DADDY'S GONNA KILL YA!!!;อย่าหนี ไม่งั้นพ่อจะฆ่าแก!!!
MCAE000BU;BU;Here bunny, bunny, bunny!;
MCAE002BU;BU;I'm not gonna hurt you!;
MCAE003BU;BU;COME HERE BUNNY!;
MCAE004BU;BU;Don't run or else Daddy's gonna kill ya!;
MCAE008BU;BU;Ah-ha-ha-ha!;
MCAJ006EV;EV;Rrrarggrmble-grmble!;
MCAJ007EV;EV;What's going on here? What have you done to our circus?;
MCAJ008RA;RA;Dad!;
MCAJ009EV;EV;Polluted! Perverted! This looks like the work of MENTALISTS!;
MCAJ010RA;RA;I can explain!;
MCAJ011EV;EV;Have you been associating with PSYCHICS?;
MCAJ012RA;RA;Dad, I--;
MCAJ013EV;EV;Psychics! Fortune tellers! They killed your grandfather! They cursed our entire family to die in water!;
MCAJ014RA;RA;Yes, but--;
MCAJ015EV;EV;Including you, Razputin, and me. But I'm going to live, you know why? Because I'm still an acrobat. ;
MCAJ016EV;EV;Let's see if you are!;
MCAK000EV;EV;What's it going to be, son? Die in the water? Or show me what you got?;
MCAL001EV;EV;Let's see if you remember your training!;
MCAL002EV;EV;Quick! Up here! Before the cold clammy hand of fear pulls you under!;
MCAL003EV;EV;Razputin!;
MCAL004EV;EV;Up here!;
MCAL007EV;EV;Maybe if you spent more time practicing your acrobatics and less time reading those comic books you'd be up here by now!;
MCAL009EV;EV;Finally!;
MCAL011EV;EV;Mmm. Pretty good. BUT NOT GOOD ENOUGH.;
MCAL013EV;EV;Hey, son. Catch!;
MCAL016EV;EV;Think fast!;
MCAL017EV;EV;Here you go!;
MCAL018EV;EV;You used to LIKE to play catch with me!;
MCAL019EV;EV;Incoming!;
MCAL020EV;EV;Little help?;
MCAL021EV;EV;Well, just as well. One fewer psychic in the world!;
MCAM000RA;RA;Dad! I made it!;
